COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);4.0;4 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);4.5;4.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);5.0;5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);5.5;5.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);6.0;6 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);6.5;6.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);7.0;7 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);7.5;7.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);8.0;8 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);8.5;8.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);9.0;9 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);9.5;9.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);10.0;10 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);10.5;10.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);11.0;11 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);11.5;11.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);12.0;12 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);12.5;12.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);13.0;13 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);13.5;13.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);14.0;14 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);14.5;14.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);15.0;15 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);15.5;15.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);16.0;16 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);16.5;16.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);17.0;17 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);17.5;17.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);18.0;18 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);18.5;18.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);19.0;19 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);19.5;19.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);20.0;20 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);20.5;20.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);21.0;21 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);21.5;21.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);22.0;22 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);22.5;22.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);23.0;23 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);23.5;23.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);24.0;24 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);24.5;24.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);25.0;25 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);25.5;25.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);26.0;26 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);26.5;26.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);27.0;27 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);27.5;27.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);28.0;28 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);28.5;28.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);29.0;29 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);29.5;29.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);30.0;30 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);30.5;30.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);31.0;31 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);31.5;31.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);32.0;32 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);32.5;32.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);33.0;33 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);33.5;33.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);34.0;34 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);34.5;34.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);35.0;35 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);35.5;35.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);36.0;36 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);36.5;36.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);37.0;37 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);37.5;37.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);38.0;38 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);38.5;38.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);39.0;39 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);39.5;39.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);40.0;40 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);40.5;40.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);41.0;41 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);41.5;41.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);42.0;42 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);42.5;42.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);43.0;43 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);43.5;43.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);44.0;44 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);44.5;44.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);45.0;45 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);45.5;45.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);46.0;46 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);46.5;46.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);47.0;47 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);47.5;47.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);48.0;48 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);48.5;48.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);49.0;49 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);49.5;49.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);50.0;50 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);50.5;50.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);51.0;51 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);51.5;51.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);52.0;52 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);52.5;52.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);53.0;53 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);53.5;53.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);54.0;54 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);54.5;54.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);55.0;55 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);55.5;55.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);56.0;56 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);56.5;56.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);57.0;57 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);57.5;57.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);58.0;58 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);58.5;58.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);59.0;59 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);59.5;59.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);60.0;60 heures ou plus;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);;Sans objet (ACTEU distinct de 1);NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);0.0;0 heure;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);1.0;1 heure;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);1.5;1.5 heure;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);2.0;2 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);2.5;2.5 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);3.0;3 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);3.5;3.5 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);4.0;4 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);4.5;4.5 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);5.0;5 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);5.5;5.5 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);6.0;6 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);6.5;6.5 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);7.0;7 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);7.5;7.5 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);8.0;8 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);8.5;8.5 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);9.0;9 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);9.5;9.5 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);10.0;10 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);10.5;10.5 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);11.0;11 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);11.5;11.5 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);12.0;12 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);12.5;12.5 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);13.0;13 heures;NUM;4.1
HEFFTOT;Nombre d'heures effectivement travaillées au cours de la semaine de référence (ensemble des emplois);13.5;13.5 heures;NUM;4.1
